R/O F,Placing,Language,Songwriter(s),Number of Languages,Number of Songwriter(s),Year
16.0,15.0,English,Jacob LaunbjergSvend GudiksenNis Bøgvad,1,3,2008
8.0,22.0,Finnish,Jarkko Ahola,1,1,2008
19.0,19.0,"English, French",Sébastien TellierAmandine de La Richardière,2,2,2008
17.0,12.0,English,Kim BreitburgKaren Kavaleryan,1,2,2008
4.0,23.0,English,RemeeHanne SørvaagThomas Troelsen,1,3,2008
21.0,3.0,English,Konstantinos PantzisPoseidonas Giannopoulos,1,2,2008
11.0,14.0,English,Örlygur SmáriPaul OscarPeter Fenner,1,3,2008
7.0,9.0,"Hebrew, English",Dana InternationalShay Kerem,2,2,2008
14.0,11.0,English,Jonas LibergJohan SahlenClaes AndreassonTorbjörn Wassenius,1,4,2008
25.0,5.0,English,Mira Craig,1,1,2008
10.0,24.0,English,Isis Gee,1,1,2008
13.0,13.0,Portuguese,Andrej BabićCarlos Coelho,1,2,2008
1.0,20.0,"Romanian, Italian",Andrei TudorAndreea AndreiAdina Șuteu,2,3,2008
24.0,1.0,English,Dima BilanJim Beanz,1,2,2008
23.0,6.0,Serbian,Željko JoksimovićDejan Ivanović,1,2,2008
22.0,16.0,"Spanish, English",Rodolfo Chikilicuatre and friends,2,1,2008
18.0,18.0,English,Fredrik KempeBobby Ljunggren,1,2,2008
12.0,7.0,Turkish,Harun TekinKerem KabadayıBurak GüvenKerem Özyeğen,1,4,2008
18.0,2.0,English,Philipp KirkorovKaren Kavaleryan,1,2,2008
2.0,25.0,English,Andy AbrahamAndy WatkinsPaul Wilson,1,3,2008
19.0,17.0,English,Edmond ZhulaliAgim Doçi,1,2,2009
9.0,10.0,"English, Armenian",Mane HakobyanVardan ZadoyanAvet Barseghyan,2,3,2009
11.0,3.0,English,Arash LabafRobert UhlmannJohan BejerholmMarcus EnglöfAlex Papaconstantinou,1,5,2009
12.0,9.0,Bosnian,Aleksandar Čović,1,1,2009
5.0,18.0,Croatian,Tonči HuljićVjekoslava Huljić,1,2,2009
16.0,13.0,English,Lars Halvor JensenMartin Michael LarssonRonan Keating,1,3,2009
15.0,6.0,Estonian,Sven Lõhmus,1,1,2009
24.0,25.0,English,WaldoKarimaAri LehtonenAnnie Kratz-Gutå,1,4,2009
3.0,8.0,French,Fred BlondinAnse Lazio,1,2,2009
17.0,20.0,English,Alex ChristensenSteffen Häfelinger,1,2,2009
8.0,7.0,English,Dimitris KontopoulosCraig PorteilsCameron Giles-Webb,1,3,2009
7.0,2.0,English,Óskar Páll SveinssonChris NeilTinatin Japaridze,1,3,2009
2.0,16.0,"English, Hebrew, Arabic",Achinoam NiniMira AwadGil Dor,3,3,2009
1.0,23.0,"English, Russian",Dmitrij Šavrov,2,1,2009
14.0,22.0,English,Marc PaelinckGregory Bilsen,1,2,2009
13.0,14.0,"Romanian, English",Veaceslav DaniliucAndrei HadjiuNelly CiobanuAristotelis Kalimeris,2,4,2009
20.0,1.0,English,Alexander Rybak,1,1,2009
6.0,15.0,Portuguese,Pedro MarquesPaulo Pereira,1,2,2009
22.0,19.0,English,Laurențiu DuțăOvidiu BistriceanuDaris Mangal,1,3,2009
10.0,11.0,"Russian, Ukrainian",Konstantin MeladzeDiana Golde,2,2,2009
25.0,24.0,Spanish,Jason GillDimitri StassosIrini MichasFelipe Pedroso,1,4,2009
4.0,21.0,"French, English",Fredrik KempeMalena Ernman,2,2,2009
18.0,4.0,English,Sinan AkçılHadise AçıkgözStefaan Fernande,1,3,2009
21.0,12.0,English,Svetlana LobodaYevgeny Matyushenko,1,2,2009
23.0,5.0,English,Andrew Lloyd WebberDiane Warren,1,2,2009
15.0,16.0,English,Ardit GjebreaPirro Çako,1,2,2010
21.0,7.0,English,Armen MartirosyanKaren Kavaleryan,1,2,2010
1.0,5.0,English,Anders BaggeStefan ÖrnSandra Bjurman,1,3,2010
9.0,24.0,English,Maxim FadeevMalka Chaplin,1,2,2010
7.0,6.0,English,Tom EeckhoutJeroen SwinnenAshley Hicklin,1,3,2010
6.0,17.0,English,Edin-Dino Šaran,1,1,2010
5.0,21.0,English,Nasos LambrianidesMelis Konstantinou,1,2,2010
25.0,4.0,English,Thomas G:sonHenrik SethssonErik Bernholm,1,3,2010
18.0,12.0,French,Hugues DucaminJacques Ballue,1,2,2010
13.0,9.0,English,Hanne SørvaagHarry SommerdahlChristian Leuzzi,1,3,2010
22.0,1.0,English,Julie FrostJohn Gordon,1,2,2010
11.0,8.0,Greek[h],Giorgos AlkaiosGiannis AntoniouDimitris HortariasManos HortariasDionysis SchinasTolis SchinasKassiani KaragiouleStavros Apostolou,1,8,2010
16.0,19.0,English,Örlygur SmáriHera Björk Þórhallsdóttir,1,2,2010
10.0,23.0,English,Niall MooneyMårten ErikssonJonas GladnikoffLina Eriksson,1,4,2010
24.0,14.0,Hebrew,Tomer AdaddiNoam Horev,1,2,2010
4.0,22.0,English,Anton RagozaSergey StepanovAlina Galetskaya,1,3,2010
3.0,20.0,English,Hanne SørvaagFredrik Kempe,1,2,2010
23.0,18.0,Portuguese,Augusto Madureira,1,1,2010
19.0,3.0,English,Ovidiu Cernăuțeanu,1,1,2010
20.0,11.0,English,Peter Nalitch,1,1,2010
8.0,13.0,Serbian,Goran BregovićMarina TucakovićLjiljana Jorgovanović,1,3,2010
2.0,15.0,Spanish,Jesús CañadillaLuis Miguel de la VargaAlberto JodarDaniel Diges,1,4,2010
14.0,2.0,English,Yağmur SarıgülFerman AkgülÖzgür Can ÖneyEfe YılmazCem BahtiyarEvren ÖzdemirFiona Movery Akıncı,1,7,2010
17.0,10.0,English,Olena KucherBorys KukobaVadim Lisitsa,1,3,2010
12.0,25.0,English,Pete WatermanMike StockSteve Crosby,1,3,2010
18.0,18.0,English,Thomas RabitschNadine Beiler,1,2,2011
19.0,1.0,English,Stefan ÖrnSandra BjurmanIain James Farquharson,1,3,2011
2.0,6.0,English[l],Dino Merlin,1,1,2011
3.0,5.0,English,Lise CabbleJakob Schack Glæsner,1,2,2011
8.0,24.0,English,Sven Lõhmus,1,1,2011
1.0,21.0,English,Axel Ehnström,1,1,2011
11.0,15.0,Corsican,Daniel MoyneQuentin BacheletJean-Pierre MarcellesiJulie Miller,1,4,2011
25.0,9.0,English,DJ BE$$DJ RockMikheil Chelidze,1,2,2011
16.0,10.0,English,Gus SeyffertNicole MorierMonica Birkenes,1,3,2011
9.0,7.0,"English, Greek",Giannis ChristodoulopoulosEleana Vrachali,2,2,2011
5.0,22.0,"English, Hungarian",Viktor RakonczaiGergő RáczPéter GesztiJohnny K. Palmer,2,4,2011
21.0,20.0,English,Sigurjón BrinkÞórunn Erna Clausen,1,2,2011
6.0,8.0,English,Dan PriddyLars Halvor JensenMartin Michael Larsson,1,3,2011
12.0,2.0,"Italian, English",Raffaele Gualazzi,2,1,2011
4.0,19.0,English[a],Paulius ZdanavičiusAndrius Kairys,1,2,2011
15.0,12.0,English,Roman IagupovMihai GincuMarc ElsnerAndy Schuman,1,4,2011
17.0,17.0,English,Gabriel BăruţaAlexandra Ivan,1,2,2011
10.0,16.0,"English, Russian","Alexey VorobyovRedOneAJ JuniorBilal ""The Chef""Eric Sanicola",2,5,2011
24.0,14.0,Serbian,Kristina Kovač,1,1,2011
20.0,13.0,English,Matjaž VlašičUrša Vlašič,1,2,2011
22.0,23.0,Spanish,Rafael Artesero,1,1,2011
7.0,3.0,English,Fredrik Kempe,1,1,2011
13.0,25.0,English,David Klein,1,1,2011
23.0,4.0,English,Ruslan KvintaMaryna Skomorohova,1,2,2011
14.0,11.0,English,Duncan JamesLee RyanCiaron BellBen CollierIan HopeLiam KeenanStarSign,1,8,2011
3.0,5.0,Albanian,Florent BoshnjakuRona Nishliu,1,2,2012
13.0,4.0,English,Anders BaggeJohan KronlundSandra BjurmanStefan Örn,1,4,2012
5.0,18.0,Bosnian,Maja Sarihodžić,1,1,2012
8.0,16.0,English,Alex PapaconstantinouBjörn DjupströmAlexandra ZakkaViktor Svensson,1,4,2012
15.0,23.0,English,RemeeChief 1Isam Bachiri,1,2,2012
11.0,6.0,Estonian,Ott LeplandAapo Ilves,1,2,2012
9.0,22.0,"French, English",Jean-Pierre PilotWilliam RousseauAnggun,2,3,2012
20.0,8.0,English,Wayne HectorJamie CullumSteve Robson,1,3,2012
16.0,17.0,English,Dimitri StassosMikaela StenströmDajana Lööf,1,3,2012
2.0,24.0,English,Behnam LotfiGábor PálAttila SándorCsaba Walkó,1,4,2012
7.0,20.0,English,Greta Salóme Stefánsdóttir,1,1,2012
23.0,19.0,English,Nick JarlSharon Vaughn,1,2,2012
10.0,9.0,"English, Italian",Christian RabbKristoffer SjökvistFrida MolanderCharlie MasonNina Zilli,2,5,2012
4.0,14.0,English,Brandon StoneJodie Rose,1,2,2012
22.0,13.0,Macedonian,Romeo GrillKaliopi,1,2,2012
21.0,21.0,English,Kurt CallejaJohan JämtbergMikael Gunnerås,1,3,2012
26.0,11.0,English,Pavel ParfeniAlex Brașoveanu,1,2,2012
12.0,26.0,English,Tooji KeshtkarFigge BoströmPeter Boström,1,3,2012
14.0,12.0,"Spanish, English",Costi IonițăElena IonescuOmar Secada,2,3,2012
6.0,2.0,"Udmurt, English",Viktor DrobyshTimofei LeontievOlga TuktaryovaMary Susan Applegate,2,4,2012
24.0,3.0,Serbian,Željko JoksimovićMarina TucakovićMiloš Roganović,1,3,2012
19.0,10.0,Spanish,Tony Sánchez-OhlssonThomas G:sonErik Bernholm,1,3,2012
17.0,1.0,English,Thomas G:sonPeter Boström,1,2,2012
18.0,7.0,English,Can Bonomo,1,1,2012
25.0,15.0,English,GaitanaAlex NabrodovIgor Nikolayev,1,3,2012
1.0,25.0,English,Martin TerefeSacha Skarbek,1,2,2012
12.0,18.0,English,Tony IommiVardan Zadoyan,1,2,2013
20.0,2.0,English,Dimitris KontopoulosJohn BallardRalph Charlie,1,3,2013
8.0,16.0,English,Marc PaelinckMartin King,1,2,2013
6.0,12.0,English,Iain James FarquharsonJukka Immonen,1,2,2013
18.0,1.0,English,Lise CabbleJulia Fabrin JakobsenThomas Stengaard,1,3,2013
7.0,20.0,Estonian,Mihkel MattisenSilvia Soro,1,2,2013
4.0,24.0,English,Krista SiegfridsErik NyholmKristoffer KarlssonJessica Lundström,1,4,2013
1.0,23.0,French,David SalkinBoris Bergman,1,2,2013
25.0,15.0,English,Thomas G:sonErik Bernholm,1,2,2013
11.0,21.0,English,Yann PeiferManuel ReuterAndres BallinasTony Cornelissen,1,4,2013
21.0,6.0,Greek[h],Ilias KozasStathis Pachidis,1,2,2013
17.0,10.0,Hungarian,"Alex MártaZoltán Palásti Kovács ""Zoohacker""",1,2,2013
19.0,17.0,Icelandic,Örlygur SmáriPétur Örn Gudmundsson,1,2,2013
26.0,26.0,English,Wez DevineRyan Dolan,1,2,2013
23.0,7.0,Italian,Francesco De BenedittisRoberto CasalinoMarco Mengoni,1,3,2013
2.0,22.0,English,Andrius Pojavis,1,1,2013
9.0,8.0,English,Boris CezekDean Muscat,1,2,2013
3.0,11.0,Romanian,Pavel ParfeniIuliana Scutaru,1,2,2013
13.0,9.0,English,Tore JohanssonMartin GjerstadAnouk Teeuwe,1,3,2013
24.0,4.0,English,Karin ParkRobin LynchNiklas Olovson,1,3,2013
14.0,13.0,English,Cristian Faur,1,1,2013
10.0,5.0,English,Gabriel AlaresLeonid GutkinJoakim Björnberg,1,3,2013
5.0,25.0,Spanish[h],Raquel del RosarioDavid FeitoJuan Luis Suárez,1,3,2013
16.0,14.0,English,Robin StjernbergJoy DebLinnea DebJoakim Harestad Haukaas,1,4,2013
22.0,3.0,English,Mikhail NekrasovKaren Kavaleryan,1,2,2013
15.0,19.0,English,Desmond ChildLauren ChristyChristopher Braide,1,3,2013
7.0,4.0,English,Aram SargsyanGarik Papoyan,1,2,2014
11.0,1.0,English,Charlie MasonJoey PatulkaAli ZuckowskiJulian Maas,1,4,2014
3.0,22.0,English,Stefan ÖrnJohan KronlundAlessandra Günthardt,1,3,2014
2.0,16.0,English,Yuri VashchukDmitry Novik,1,2,2014
23.0,9.0,English,Basim MoujahidLasse LindorffDaniel FältKim Nowak-Zorde,1,4,2014
18.0,11.0,English,Topi LatukkaHenri Oskár,1,2,2014
14.0,26.0,French[b][h],Pierre BeyresKim N'GuyenLorent ArdouvinFrançois Ardouvin,1,4,2014
12.0,18.0,English,Elżbieta SteinmetzFrank KretschmerAdam Kesselhaut,1,3,2014
10.0,20.0,English,Nick RaptakisTheofilos PouzbourisShane Schuller,1,3,2014
21.0,5.0,English,András Kállay-SaundersKrisztián SzakosIstván Tabár,1,3,2014
4.0,15.0,English,Heiðar Örn KristjánssonHaraldur Freyr GíslasonJohn Grant,1,3,2014
16.0,21.0,Italian[h],Emma Marrone,1,1,2014
22.0,23.0,English,Richard Micallef,1,1,2014
8.0,19.0,Montenegrin,Sergej ĆetkovićEmina Jahović,1,2,2014
24.0,2.0,English,Ilse DeLangeJB MeijersRob CrosbyMatthew CrosbyJake Etheridge,1,6,2014
5.0,8.0,English,Josefin Winther,1,1,2014
9.0,14.0,"Polish, English",Witold CzamaraJoanna Klepko,2,2,2014
6.0,12.0,English,Ovidiu CernăuțeanuPhilip HallounFrida AmundsenBeyond51,1,4,2014
15.0,7.0,English,Philipp KirkorovDimitris KontopoulosJohn BallardRalph CharlieGerard James Borg,1,5,2014
25.0,24.0,English,Ralph SiegelMauro Balestri,1,2,2014
17.0,25.0,"English, Slovene",RaayTinkara KovačHannah ManciniTina Piš,2,4,2014
19.0,10.0,"English, Spanish",Ruth LorenzoJim IrvinJulian Emery,2,3,2014
13.0,3.0,English,"Fredrik KempeDavid KreugerHamed ""K-One"" Pirouzpanah",1,3,2014
20.0,13.0,English,Sebastiano Paù-Lessi,1,1,2014
1.0,6.0,English,Mariya YaremchukSandra Bjurman,1,2,2014
26.0,17.0,English,Molly Smitten-DownesAnders Hansson,1,2,2014
26.0,17.0,English,Arbër ElshaniKristijan LekajSokol Marsi,1,3,2015
6.0,16.0,English,Armen MartirosyanInna Mkrtchyan,1,2,2015
12.0,5.0,English,Guy SebastianDavid Ryan HarrisLouis Schoorl,1,3,2015
14.0,26.0,English,Jimmy HarryDominic MuhrerPaul EstrelaFlorian MeindlMarkus Christ,1,5,2015
24.0,12.0,English,Nicolas RebscherNicklas LifLina HanssonSandra Bjurman,1,4,2015
13.0,4.0,English,Loïc NottetBeverly Jo Scott,1,2,2015
11.0,22.0,English,Mike Connaris,1,1,2015
4.0,7.0,English,Stig Rästa,1,1,2015
2.0,25.0,French,Michel IllouzMoïse AlbertLaure Izon,1,3,2015
23.0,11.0,English,Nina SublattiThomas G:son,1,2,2015
17.0,27.0,English,Michael HarwoodElla McMahonTonino Speciale,1,4,2015
15.0,19.0,English,Maria Elena KyriakouEfthivoulos TheocharousVangelis KonstantinidisEvelina Tziora,1,4,2015
22.0,20.0,English,Boglárka CsemerÁron SebestyénSára Hélène Bori,1,3,2015
3.0,9.0,English,Doron Medalie,1,1,2015
27.0,3.0,Italian,Ciro EspositoFrancesco Boccia,1,2,2015
19.0,6.0,English,Aminata Savadogo,1,1,2015
7.0,18.0,English,Vytautas BikusMonika Liubinaitė,1,2,2015
16.0,13.0,Montenegrin,Željko JoksimovićMarina TucakovićDejan Ivanović,1,3,2015
9.0,8.0,English,Kjetil Mørland,1,1,2015
18.0,23.0,English,Jakub RaczyńskiMonika Kuszyńska,1,2,2015
20.0,15.0,"Romanian, English",Călin GoiaGabriel ConstantinAdrian CristescuSilviu Marian PăduraruVictor Răzvan AlstaniMonica-Ana StevensAndrei-Mădalin Leonte,2,7,2015
25.0,2.0,English,Gabriel AlaresLeonid GutkinJoakim BjörnbergKatrina NoorbergenVladimir Matetsky,1,5,2015
8.0,10.0,English,Vladimir GraićCharlie Mason,1,2,2015
1.0,14.0,English,RaayMarjetka VovkCharlie Mason,1,3,2015
21.0,21.0,Spanish,Tony Sánchez-OhlssonThomas G:sonPeter Boström,1,3,2015
10.0,1.0,English,Joy DebLinnea DebAnton Hård af Segerstad,1,3,2015
5.0,24.0,English,David MindelAdrian Bax White,1,2,2015
26.0,7.0,English,Lilith NavasardyanLevon NavasardyanIveta MukuchyanStephanie Crutchfield,1,4,2016
13.0,2.0,English,David MusumeciAnthony Egizii,1,2,2016
24.0,13.0,French,Christof StraubZoë Straub,1,2,2016
4.0,17.0,English,"Amir AlyJakob ""Jakke"" ErixsonHenrik Wikström",1,3,2016
1.0,10.0,English,Sanne PutseysLouis FavreYannick WertherBirsen Uçar,1,4,2016
8.0,4.0,"English, Bulgarian",Borislav MilanovSebastian ArmanJoacim PerssonPoli Genova,2,4,2016
17.0,23.0,English,Andreas GrassNikola Paryla,1,2,2016
14.0,21.0,English,Thomas G:sonMinus One,1,2,2016
2.0,25.0,English,Christian SchneiderSara BiglertAidan O'Connor,1,3,2016
11.0,6.0,"French, English",Amir HaddadNazim KhaledJohan Errami,2,3,2016
23.0,20.0,English,Kote KalandadzeThomas G:son,1,2,2016
10.0,26.0,English,Anna LeyneThomas BurchiaConrad Hensel,1,3,2016
5.0,19.0,English,Zé SzabóBorbála Csarnai,1,2,2016
7.0,14.0,English,Doron Medalie,1,1,2016
6.0,16.0,"Italian, English",Fabio GargiuloFederica AbbateCheopeFrancesca MichielinNorma Jean Martine,2,5,2016
20.0,15.0,English,Aminata Savadogo,1,1,2016
16.0,9.0,English,Jonas ThanderBeatrice Robertsson,1,2,2016
22.0,12.0,English,Lisa DesmondTim LarssonTobias LundgrenMolly Pettersson HammarIra Losco,1,5,2016
3.0,11.0,English,Douwe Bob PosthumaJan Peter HoekstraJeroen OvermanMatthijs van Duijvenbode,1,4,2016
12.0,8.0,English,Andy PalmerKamil Varen,1,2,2016
18.0,3.0,English,Philipp KirkorovDimitris KontopoulosJohn BallardRalph Charlie,1,4,2016
15.0,18.0,English,Ivana Peters,1,1,2016
19.0,22.0,English,Bárbara ReyzábalRuben VillanuevaVíctor Púa Vivó,1,3,2016
9.0,5.0,English,Frans Jeppsson WallFredrik AnderssonMichael SaxellOscar Fogelström,1,4,2016
21.0,1.0,"English, Crimean Tatar",JamalaArt Antonyan,2,2,2016
25.0,24.0,English,Matt SchwartzJustin J BensonSiva Kaneswaran,1,3,2016
5.0,18.0,English,Lilith NavasaryanLevon NavasardyanAvet BarseghyanDavid Tserunyan,1,4,2017
14.0,9.0,English,David MusumeciAnthony EgiziiMichael Angelo,1,3,2017
4.0,16.0,English,Nathanaele KollBernhard Penzias,1,2,2017
12.0,14.0,English,Isa MelikovSandra Bjurman,1,2,2017
3.0,17.0,Belarusian,Arciom Lukjanienka,1,1,2017
23.0,4.0,English,Pierre DumoulinEmmanuel DelcourtEllie Delvaux,1,3,2017
25.0,2.0,English,Borislav MilanovSebastian ArmanJoacim PerssonAlexander V. BlayAlex Omar,1,5,2017
13.0,13.0,"English, Italian",Željko HoudekSiniša ReljićTony MalmInes PrajoArjana KunštekFabrizio Laucella,2,6,2017
19.0,21.0,English,Thomas G:son,1,1,2017
10.0,20.0,English,Anja NissenMichael D'ArcyAngel Tupai,1,3,2017
26.0,12.0,"French, English",Nazim KhaledAlexandra Maquet,2,2,2017
21.0,25.0,English,Lindy RobbinsDave BassettLindsey Ray,1,3,2017
15.0,19.0,English,Dimitris KontopoulosRomy PapadeaJohn Ballard,1,3,2017
8.0,8.0,Hungarian,József Pápai,1,1,2017
1.0,23.0,English,Dolev RamPenn Hazut,1,2,2017
9.0,6.0,Italian[h][u][v],Francesco GabbaniFilippo GabbaniLuca ChiaravalliFabio Ilacqua,1,4,2017
7.0,3.0,English,Anton RagozaSergei IalovitskiSergey StepanovMihail CebotarencoAlina Galetcaia,1,5,2017
6.0,11.0,English,Rick VolRory de Kievit,1,2,2017
17.0,10.0,English,Joakim With SteenJonas McDonnell,1,3,2017
2.0,22.0,English,Kasia MośRickard Bonde TruumeelPete Barringer,1,3,2017
11.0,1.0,Portuguese,Luísa Sobral,1,1,2017
20.0,7.0,English,Mihai AlexandruAlexa Niculae,1,2,2017
16.0,26.0,"Spanish, English","Manel NavarroAntonio Rayo ""Rayito""",2,2,2017
