Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0,Crowd_1,Crowd_2,Crowd_3,Crowd_4,Crowd_5,Crowd_6,Crowd_7,Crowd_8,Crowd_10,Crowd_12,No. of neighbours,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia & Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Netherlands,Ding-A-Dong,Teach-In,Final,1975,152.0,1,1,Stockholm ,Malta,Norway,Yugoslavia,United Kingdom,Belgium,Ireland,Switzerland,France,Israel,Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,You Touched My Life With Summer,Ellen Nikolaysen,Final,1975,11.0,6,18,Stockholm ,Switzerland,Malta,Spain,Ireland,Israel,Italy,United Kingdom,Sweden,Finland,Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Portugal,Madrugada,Duarte Mendes,Final,1975,16.0,16,16,Stockholm ,Yugoslavia,Switzerland,Monaco,Ireland,United Kingdom,Sweden,Netherlands,Luxembourg,Italy,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spain,Tú Volverás,Sergio & Estíbaliz,Final,1975,53.0,17,10,Stockholm ,Finland,Portugal,Ireland,Germany,Sweden,Luxembourg,Italy,France,United Kingdom,Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sweden,"Jennie, Jennie",Lars Berghagen and the Dolls,Final,1975,72.0,18,8,Stockholm ,Italy,Belgium,Finland,Luxembourg,United Kingdom,Israel,Yugoslavia,France,Ireland,Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,Mikado,Simone Drexel,Final,1975,77.0,7,6,Stockholm ,Sweden,Israel,France,Malta,Spain,Netherlands,Ireland,United Kingdom,Italy,Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Seninle Bir Dakika,Semiha Yankı,Final,1975,3.0,13,19,Stockholm ,France,Malta,Spain,Netherlands,Luxembourg,Israel,Switzerland,Sweden,Italy,Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Let Me Be The One,The Shadows,Final,1975,138.0,9,2,Stockholm ,Israel,Monaco,Luxembourg,Finland,Switzerland,Ireland,Sweden,France,Italy,Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,Dan Ljubezni,Pepel In Kri,Final,1975,22.0,8,13,Stockholm ,Ireland,Malta,Belgium,Spain,Finland,Sweden,Luxembourg,Netherlands,Italy,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,My Little World,Waterloo & Robinson,Final,1976,80.0,14,5,The Hague ,Italy,Ireland,Belgium,Netherlands,Monaco,Israel,Finland,Switzerland,United Kingdom,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Belgium,Judy Et Cie.,Pierre Rapsat,Final,1976,68.0,6,8,The Hague ,Germany,Greece,Austria,Netherlands,Israel,Luxembourg,Switzerland,Monaco,France,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Pump-pump,Fredi and The Friends,Final,1976,44.0,11,11,The Hague ,Portugal,Monaco,France,Greece,Austria,Italy,Switzerland,Israel,United Kingdom,Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
France,"Un, Deux, Trois",Catherine Ferry,Final,1976,147.0,17,2,The Hague ,Spain,Germany,Ireland,Yugoslavia,Belgium,Switzerland,United Kingdom,Greece,Italy,Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Germany,"Sing, Sang, Song",Les Humphries Singers,Final,1976,12.0,3,15,The Hague ,Ireland,Yugoslavia,Israel,Netherlands,Switzerland,Finland,Monaco,United Kingdom,Austria,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,9,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Greece,"Panaghia Mou, Panaghia Mou",Mariza Koch,Final,1976,20.0,10,13,The Hague ,Spain,Switzerland,Yugoslavia,Portugal,France,Austria,Netherlands,Ireland,Italy,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ireland,When,Red Hurley,Final,1976,54.0,7,10,The Hague ,Switzerland,Netherlands,United Kingdom,Israel,Finland,Luxembourg,France,Monaco,Austria,Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Israel,Emor Shalom,"Chocolate, Menta, Mastik",Final,1976,77.0,4,6,The Hague ,Belgium,Italy,Ireland,Switzerland,France,Finland,Monaco,Netherlands,Austria,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,We'll Live It All Again,Romina and Al Bano,Final,1976,69.0,13,7,The Hague ,Portugal,Netherlands,Spain,United Kingdom,Greece,France,Monaco,Belgium,Israel,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Luxembourg,Chansons Pour Ceux Qui S'aiment,Jürgen Marcus,Final,1976,17.0,5,14,The Hague ,Switzerland,Germany,Ireland,Netherlands,Austria,Portugal,Israel,United Kingdom,France,Monaco,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,"Toi, La Musique Et Moi",Mary Christy,Final,1976,93.0,16,3,The Hague ,Israel,Netherlands,Spain,Switzerland,Austria,Ireland,Finland,Belgium,United Kingdom,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,The Party's Over Now,Sandra Reemer,Final,1976,56.0,8,9,The Hague ,Finland,Israel,Norway,Belgium,Luxembourg,Switzerland,Austria,Monaco,United Kingdom,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Mata Hari,Anne-Karine Ström,Final,1976,7.0,9,18,The Hague ,Netherlands,Austria,Italy,Finland,Monaco,Belgium,Israel,France,Switzerland,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Portugal,Uma Flor De Verde Pinho,Carlos do Carmo,Final,1976,24.0,15,12,The Hague ,Greece,Israel,Monaco,Norway,France,Netherlands,Switzerland,Belgium,Italy,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spain,Sobran Las Palabras,Braulio,Final,1976,11.0,12,16,The Hague ,Israel,Germany,Netherlands,Switzerland,Ireland,Finland,Monaco,Austria,France,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Switzerland,"Djambo, Djambo","Peter, Sue & Marc",Final,1976,91.0,2,4,The Hague ,Yugoslavia,Germany,Austria,Netherlands,Monaco,Belgium,Israel,Italy,France,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Save Your Kisses For Me,Brotherhood of Man,Final,1976,164.0,1,1,The Hague ,Italy,Finland,Spain,Austria,Monaco,Israel,Belgium,France,Ireland,Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,Ne Mogu Skriti Svoju Bol,Ambasadori,Final,1976,10.0,18,17,The Hague ,Ireland,Austria,Germany,Monaco,Netherlands,Italy,Switzerland,Israel,United Kingdom,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Boom Boom Boomerang,Schmetterlinge,Final,1977,11.0,4,17,London ,Spain,Germany,Israel,Greece,Ireland,Finland,France,Monaco,Switzerland,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Belgium,"A Million In One, Two, Three",Dream Express,Final,1977,69.0,17,7,London ,Israel,Monaco,Ireland,France,Norway,Greece,Spain,Switzerland,Netherlands,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Lapponia,Monica Aspelund,Final,1977,50.0,16,10,London ,Austria,Italy,Belgium,United Kingdom,Monaco,Greece,Spain,Luxembourg,Switzerland,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
France,L'oiseau Et L'enfant,Marie Myriam,Final,1977,136.0,18,1,London ,Germany,Israel,Greece,Finland,Monaco,Portugal,Italy,Netherlands,Ireland,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Germany,Telegram,Silver Convention,Final,1977,55.0,6,8,London ,Portugal,Sweden,Italy,Greece,Ireland,Monaco,Spain,Belgium,United Kingdom,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,9,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Greece,Mathima Solfez,"Pascalis, Marianna, Robert and Bessy",Final,1977,92.0,10,5,London ,Netherlands,Finland,Austria,Spain,Belgium,Switzerland,France,Germany,Ireland,Monaco,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ireland,It's Nice To Be In Love Again,The Swarbriggs Plus Two,Final,1977,119.0,1,3,London ,Germany,Luxembourg,Netherlands,Belgium,Monaco,Switzerland,Israel,Italy,France,Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Israel,Ah-haa-vah Hee Shir Lish-naa-yim,Ilanit,Final,1977,49.0,11,11,London ,Netherlands,Monaco,Greece,Switzerland,Germany,Belgium,Finland,United Kingdom,France,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Liberà,Mia Martini,Final,1977,33.0,15,13,London ,Greece,United Kingdom,Portugal,Switzerland,Norway,Germany,Spain,Ireland,France,Monaco,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Luxembourg,Frère Jacques,Anne Marie B.,Final,1977,17.0,7,16,London ,Monaco,Germany,Norway,Belgium,Switzerland,Greece,Spain,Ireland,France,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Une Petite Française,Michèle Torr,Final,1977,96.0,2,4,London ,Germany,Portugal,Netherlands,France,Austria,Italy,Israel,Ireland,Greece,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,De Mallemolen,Heddy Lester,Final,1977,35.0,3,12,London ,Ireland,Portugal,Germany,Finland,Israel,Spain,United Kingdom,France,Greece,Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Casanova,Anita Skorgan,Final,1977,18.0,5,14,London ,Monaco,Austria,France,Greece,Israel,Belgium,United Kingdom,Finland,Switzerland,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Portugal,Portugal No Coração,Os Amigos,Final,1977,18.0,8,14,London ,Ireland,Norway,Italy,Switzerland,France,Monaco,Belgium,Germany,Greece,United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
