Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0
United Kingdom,Let Me Be The One,The Shadows,Final,1975,138.0,9,2,Stockholm ,Israel,Monaco,Luxembourg,Finland,Switzerland,Ireland,Sweden,France,Italy,Netherlands
Yugoslavia,Dan Ljubezni,Pepel In Kri,Final,1975,22.0,8,13,Stockholm ,Ireland,Malta,Belgium,Spain,Finland,Sweden,Luxembourg,Netherlands,Italy,United Kingdom
Austria,My Little World,Waterloo & Robinson,Final,1976,80.0,14,5,The Hague ,Italy,Ireland,Belgium,Netherlands,Monaco,Israel,Finland,Switzerland,United Kingdom,France
Belgium,Judy Et Cie.,Pierre Rapsat,Final,1976,68.0,6,8,The Hague ,Germany,Greece,Austria,Netherlands,Israel,Luxembourg,Switzerland,Monaco,France,United Kingdom
Finland,Pump-pump,Fredi and The Friends,Final,1976,44.0,11,11,The Hague ,Portugal,Monaco,France,Greece,Austria,Italy,Switzerland,Israel,United Kingdom,Belgium
France,"Un, Deux, Trois",Catherine Ferry,Final,1976,147.0,17,2,The Hague ,Spain,Germany,Ireland,Yugoslavia,Belgium,Switzerland,United Kingdom,Greece,Italy,Portugal
Germany,"Sing, Sang, Song",Les Humphries Singers,Final,1976,12.0,3,15,The Hague ,Ireland,Yugoslavia,Israel,Netherlands,Switzerland,Finland,Monaco,United Kingdom,Austria,France
Greece,"Panaghia Mou, Panaghia Mou",Mariza Koch,Final,1976,20.0,10,13,The Hague ,Spain,Switzerland,Yugoslavia,Portugal,France,Austria,Netherlands,Ireland,Italy,United Kingdom
Ireland,When,Red Hurley,Final,1976,54.0,7,10,The Hague ,Switzerland,Netherlands,United Kingdom,Israel,Finland,Luxembourg,France,Monaco,Austria,Italy
Israel,Emor Shalom,"Chocolate, Menta, Mastik",Final,1976,77.0,4,6,The Hague ,Belgium,Italy,Ireland,Switzerland,France,Finland,Monaco,Netherlands,Austria,United Kingdom
Italy,We'll Live It All Again,Romina and Al Bano,Final,1976,69.0,13,7,The Hague ,Portugal,Netherlands,Spain,United Kingdom,Greece,France,Monaco,Belgium,Israel,Ireland
Luxembourg,Chansons Pour Ceux Qui S'aiment,Jürgen Marcus,Final,1976,17.0,5,14,The Hague ,Switzerland,Germany,Ireland,Netherlands,Austria,Portugal,Israel,United Kingdom,France,Monaco
Monaco,"Toi, La Musique Et Moi",Mary Christy,Final,1976,93.0,16,3,The Hague ,Israel,Netherlands,Spain,Switzerland,Austria,Ireland,Finland,Belgium,United Kingdom,France
Netherlands,The Party's Over Now,Sandra Reemer,Final,1976,56.0,8,9,The Hague ,Finland,Israel,Norway,Belgium,Luxembourg,Switzerland,Austria,Monaco,United Kingdom,France
Norway,Mata Hari,Anne-Karine Ström,Final,1976,7.0,9,18,The Hague ,Netherlands,Austria,Italy,Finland,Monaco,Belgium,Israel,France,Switzerland,United Kingdom
Portugal,Uma Flor De Verde Pinho,Carlos do Carmo,Final,1976,24.0,15,12,The Hague ,Greece,Israel,Monaco,Norway,France,Netherlands,Switzerland,Belgium,Italy,United Kingdom
Spain,Sobran Las Palabras,Braulio,Final,1976,11.0,12,16,The Hague ,Israel,Germany,Netherlands,Switzerland,Ireland,Finland,Monaco,Austria,France,United Kingdom
Switzerland,"Djambo, Djambo","Peter, Sue & Marc",Final,1976,91.0,2,4,The Hague ,Yugoslavia,Germany,Austria,Netherlands,Monaco,Belgium,Israel,Italy,France,United Kingdom
United Kingdom,Save Your Kisses For Me,Brotherhood of Man,Final,1976,164.0,1,1,The Hague ,Italy,Finland,Spain,Austria,Monaco,Israel,Belgium,France,Ireland,Switzerland
Yugoslavia,Ne Mogu Skriti Svoju Bol,Ambasadori,Final,1976,10.0,18,17,The Hague ,Ireland,Austria,Germany,Monaco,Netherlands,Italy,Switzerland,Israel,United Kingdom,France
Austria,Boom Boom Boomerang,Schmetterlinge,Final,1977,11.0,4,17,London ,Spain,Germany,Israel,Greece,Ireland,Finland,France,Monaco,Switzerland,United Kingdom
Belgium,"A Million In One, Two, Three",Dream Express,Final,1977,69.0,17,7,London ,Israel,Monaco,Ireland,France,Norway,Greece,Spain,Switzerland,Netherlands,United Kingdom
Finland,Lapponia,Monica Aspelund,Final,1977,50.0,16,10,London ,Austria,Italy,Belgium,United Kingdom,Monaco,Greece,Spain,Luxembourg,Switzerland,France
France,L'oiseau Et L'enfant,Marie Myriam,Final,1977,136.0,18,1,London ,Germany,Israel,Greece,Finland,Monaco,Portugal,Italy,Netherlands,Ireland,United Kingdom
Germany,Telegram,Silver Convention,Final,1977,55.0,6,8,London ,Portugal,Sweden,Italy,Greece,Ireland,Monaco,Spain,Belgium,United Kingdom,France
Greece,Mathima Solfez,"Pascalis, Marianna, Robert and Bessy",Final,1977,92.0,10,5,London ,Netherlands,Finland,Austria,Spain,Belgium,Switzerland,France,Germany,Ireland,Monaco
Ireland,It's Nice To Be In Love Again,The Swarbriggs Plus Two,Final,1977,119.0,1,3,London ,Germany,Luxembourg,Netherlands,Belgium,Monaco,Switzerland,Israel,Italy,France,Finland
Israel,Ah-haa-vah Hee Shir Lish-naa-yim,Ilanit,Final,1977,49.0,11,11,London ,Netherlands,Monaco,Greece,Switzerland,Germany,Belgium,Finland,United Kingdom,France,Ireland
Italy,Liberà,Mia Martini,Final,1977,33.0,15,13,London ,Greece,United Kingdom,Portugal,Switzerland,Norway,Germany,Spain,Ireland,France,Monaco
Luxembourg,Frère Jacques,Anne Marie B.,Final,1977,17.0,7,16,London ,Monaco,Germany,Norway,Belgium,Switzerland,Greece,Spain,Ireland,France,United Kingdom
Monaco,Une Petite Française,Michèle Torr,Final,1977,96.0,2,4,London ,Germany,Portugal,Netherlands,France,Austria,Italy,Israel,Ireland,Greece,United Kingdom
Netherlands,De Mallemolen,Heddy Lester,Final,1977,35.0,3,12,London ,Ireland,Portugal,Germany,Finland,Israel,Spain,United Kingdom,France,Greece,Belgium
Norway,Casanova,Anita Skorgan,Final,1977,18.0,5,14,London ,Monaco,Austria,France,Greece,Israel,Belgium,United Kingdom,Finland,Switzerland,Ireland
Portugal,Portugal No Coração,Os Amigos,Final,1977,18.0,8,14,London ,Ireland,Norway,Italy,Switzerland,France,Monaco,Belgium,Germany,Greece,United Kingdom
Spain,Enseñame A Cantar,Micky,Final,1977,52.0,14,9,London ,Netherlands,Italy,United Kingdom,Ireland,Germany,Israel,Luxembourg,Monaco,France,Greece
Sweden,Beatles,Forbes,Final,1977,2.0,13,18,London ,Norway,Finland,Israel,Belgium,Germany,France,Greece,United Kingdom,Monaco,Ireland
Switzerland,Swiss Lady,Pepe Lienhard Band,Final,1977,71.0,12,6,London ,Greece,Italy,Spain,Portugal,Finland,Monaco,Netherlands,Ireland,Israel,France
United Kingdom,Rock Bottom,Lynsey de Paul & Mike Moran,Final,1977,121.0,9,2,London ,Netherlands,Norway,Spain,Switzerland,Greece,France,Monaco,Germany,Belgium,Ireland
Austria,Mrs. Caroline Robinson,Springtime,Final,1978,14.0,19,15,Paris ,Monaco,Denmark,Greece,Belgium,United Kingdom,Ireland,Spain,Israel,Switzerland,France
Belgium,L'amour ça Fait Chanter La Vie,Jean Vallée,Final,1978,125.0,10,2,Paris ,Italy,Spain,Luxembourg,United Kingdom,Germany,Monaco,Switzerland,France,Ireland,Israel
Denmark,Boom Boom,Mabel,Final,1978,13.0,16,16,Paris ,Germany,Austria,Switzerland,Greece,Netherlands,Israel,Luxembourg,France,Monaco,Spain
Finland,Anna Rakkaudelle Tilaisuus,Seija Simola,Final,1978,2.0,4,18,Paris ,Switzerland,France,Ireland,Sweden,Greece,Belgium,Spain,Monaco,Israel,Germany
France,Il Y Aura Toujours Des Violons,Joël Prévost,Final,1978,119.0,6,3,Paris ,Monaco,United Kingdom,Sweden,Italy,Ireland,Denmark,Switzerland,Israel,Greece,Belgium
Germany,Feuer,Ireen Sheer,Final,1978,84.0,13,6,Paris ,Austria,Italy,Belgium,Netherlands,Ireland,Switzerland,Monaco,United Kingdom,France,Israel
Greece,Charlie Chaplin,Tania Tsanaklidou,Final,1978,66.0,15,8,Paris ,Luxembourg,Italy,United Kingdom,Monaco,Israel,Spain,Germany,France,Ireland,Belgium
Ireland,Born To Sing,Colm T. Wilkinson,Final,1978,86.0,1,5,Paris ,Germany,Luxembourg,United Kingdom,Monaco,Sweden,France,Greece,Israel,Italy,Belgium
Israel,A-Ba-Ni-Bi,Izhar Cohen and the Alphabeta,Final,1978,157.0,18,1,Paris ,Switzerland,United Kingdom,Germany,Denmark,France,Spain,Belgium,Monaco,Greece,Netherlands
Italy,Questo Amore,Ricchi e Poveri,Final,1978,53.0,3,12,Paris ,Switzerland,Greece,Germany,Portugal,Netherlands,Belgium,Monaco,Israel,France,Luxembourg
Luxembourg,Parlez-vous Français?,Baccara,Final,1978,73.0,17,7,Paris ,France,Spain,Italy,Greece,United Kingdom,Netherlands,Belgium,Switzerland,Ireland,Israel
Monaco,Les Jardins De Monaco,Caline and Olivier Toussaint,Final,1978,107.0,14,4,Paris ,Netherlands,Switzerland,Israel,Spain,France,Luxembourg,United Kingdom,Italy,Germany,Belgium
Netherlands,'t Is Ok,Harmony,Final,1978,37.0,11,13,Paris ,Denmark,United Kingdom,Luxembourg,Spain,Belgium,France,Germany,Switzerland,Monaco,Israel
Norway,Mil Etter Mil,Jahn Teigen,Final,1978,0.0,2,20,Paris ,Turkey,Finland,France,Monaco,Switzerland,Italy,Belgium,Israel,Sweden,Ireland
Portugal,Dai-li-dou,Gemini,Final,1978,5.0,5,17,Paris ,Italy,France,Austria,Belgium,Monaco,United Kingdom,Germany,Greece,Israel,Luxembourg
Spain,Bailemos Un Vals,José Vélez,Final,1978,65.0,7,9,Paris ,Portugal,Belgium,United Kingdom,Switzerland,France,Israel,Greece,Italy,Germany,Luxembourg
Sweden,Det Blir Alltid Värre Framåt Natten,Björn Skifs,Final,1978,26.0,20,14,Paris ,Netherlands,Greece,United Kingdom,Belgium,Austria,Luxembourg,Germany,Ireland,France,Monaco
Switzerland,Vivre,Carole Vinci,Final,1978,65.0,9,9,Paris ,Italy,United Kingdom,Germany,Greece,Monaco,France,Ireland,Spain,Belgium,Israel
Turkey,Sevince,Nazar,Final,1978,2.0,12,18,Paris ,Italy,Luxembourg,Austria,France,Monaco,United Kingdom,Spain,Germany,Ireland,Israel
United Kingdom,The Bad Old Days,Co-Co,Final,1978,61.0,8,11,Paris ,Turkey,Switzerland,Netherlands,Sweden,Israel,Italy,Luxembourg,France,Monaco,Belgium
Austria,Heute In Jerusalem,Christina Simon,Final,1979,5.0,18,18,Jerusalem ,Norway,Greece,Denmark,Netherlands,France,United Kingdom,Portugal,Israel,Spain,Switzerland
Belgium,Hey Nana,Micha Marah,Final,1979,5.0,12,18,Jerusalem ,Greece,Israel,Netherlands,Germany,Portugal,France,Denmark,Norway,Ireland,Spain
Denmark,Disco Tango,Tommy Seebach,Final,1979,76.0,3,6,Jerusalem ,Greece,Belgium,Spain,Monaco,Ireland,Israel,Switzerland,Netherlands,United Kingdom,Germany
Finland,Katson Sineen Taivaan,Katri-Helena,Final,1979,38.0,5,14,Jerusalem ,France,Portugal,Germany,Luxembourg,Netherlands,Ireland,United Kingdom,Italy,Switzerland,Israel
France,Je Suis L'enfant-soleil,Anne-Marie David,Final,1979,106.0,11,3,Jerusalem ,Israel,Luxembourg,Monaco,Greece,Finland,Denmark,Switzerland,Spain,Portugal,Germany
Germany,Dschinghis Khan,Dschinghis Khan,Final,1979,86.0,9,4,Jerusalem ,Belgium,Greece,Netherlands,Portugal,Finland,Ireland,Switzerland,United Kingdom,Denmark,Spain
Greece,Socrati,Elpida,Final,1979,69.0,7,8,Jerusalem ,Sweden,Switzerland,Netherlands,Israel,Luxembourg,Spain,Finland,France,Ireland,Denmark
Ireland,Happy Man,Cathal Dunne,Final,1979,80.0,4,5,Jerusalem ,Switzerland,Denmark,Luxembourg,Greece,Germany,Sweden,United Kingdom,Norway,Netherlands,Israel
Israel,Hallelujah,Milk and Honey,Final,1979,125.0,10,1,Jerusalem ,Sweden,Norway,Ireland,Switzerland,France,Germany,Netherlands,Spain,Greece,Denmark
Italy,Raggio Di Luna,Matia Bazar,Final,1979,27.0,2,15,Jerusalem ,Germany,Monaco,Norway,Austria,Ireland,Portugal,Finland,United Kingdom,France,Spain
Luxembourg,J'ai Déjà Vu ça Dans Tes Yeux,Jeane Manson,Final,1979,44.0,13,13,Jerusalem ,Germany,Norway,Portugal,Denmark,Greece,Finland,Ireland,Israel,Spain,France
Monaco,"Notre Vie, C'est La Musique",Laurent Vaguener,Final,1979,12.0,6,16,Jerusalem ,United Kingdom,Switzerland,Denmark,Luxembourg,Portugal,Norway,Greece,Israel,France,Germany
Netherlands,Colorado,Xandra,Final,1979,51.0,14,12,Jerusalem ,Israel,Germany,Portugal,Luxembourg,United Kingdom,Norway,Greece,Denmark,Spain,France
Norway,Oliver,Anita Skorgan,Final,1979,57.0,16,11,Jerusalem ,Spain,Luxembourg,Italy,Netherlands,Ireland,Portugal,France,Switzerland,United Kingdom,Israel
Portugal,"Sobe, Sobe, Balão Sobe",Manuela Bravo,Final,1979,64.0,1,9,Jerusalem ,Monaco,Germany,Norway,United Kingdom,Ireland,France,Luxembourg,Italy,Greece,Israel
Spain,Su Canción,Betty Missiego,Final,1979,116.0,19,2,Jerusalem ,Norway,Monaco,France,Denmark,United Kingdom,Portugal,Greece,Italy,Israel,Germany
Sweden,Satellit,Ted Gärdestad,Final,1979,8.0,15,17,Jerusalem ,Denmark,Greece,Portugal,Netherlands,France,Germany,Spain,Ireland,Norway,Israel
Switzerland,Trödler Und Co.,"Peter, Sue & Marc and Pfuri, Gorps & Kniri",Final,1979,60.0,8,10,Jerusalem ,Denmark,United Kingdom,Luxembourg,Portugal,Israel,Ireland,Greece,Finland,France,Spain
United Kingdom,Mary Ann,Black Lace,Final,1979,73.0,17,7,Jerusalem ,Austria,Belgium,Denmark,Ireland,Spain,France,Norway,Germany,Luxembourg,Israel
Austria,Du Bist Musik,Blue Danube,Final,1980,64.0,1,8,The Hague ,Luxembourg,Italy,Turkey,Spain,Greece,Switzerland,United Kingdom,Germany,Ireland,Netherlands
Belgium,Euro-vision,Telex,Final,1980,14.0,19,17,The Hague ,Austria,Switzerland,Netherlands,Portugal,France,United Kingdom,Germany,Luxembourg,Italy,Ireland
Denmark,Tænker Altid På Dig,Bamses Venner,Final,1980,25.0,7,14,The Hague ,France,Greece,Italy,Luxembourg,Austria,Portugal,Germany,Switzerland,United Kingdom,Ireland
Finland,Huilumies,Vesa-Matti Loiri,Final,1980,6.0,10,19,The Hague ,Portugal,Germany,Luxembourg,United Kingdom,Austria,Italy,Denmark,Ireland,Netherlands,Switzerland
France,"Hé, Hé M'sieurs Dames",Profil,Final,1980,45.0,16,11,The Hague ,Finland,Italy,Norway,Austria,United Kingdom,Portugal,Luxembourg,Ireland,Germany,Netherlands
Germany,Theater,Katja Ebstein,Final,1980,128.0,12,2,The Hague ,Portugal,Sweden,United Kingdom,Austria,Denmark,Norway,Italy,Netherlands,Switzerland,Ireland
Greece,Otostop,Anna Vissi and the Epikouri,Final,1980,30.0,3,13,The Hague ,Austria,Italy,Belgium,Denmark,Portugal,Netherlands,France,Spain,Sweden,Ireland
Ireland,What's Another Year,Johnny Logan,Final,1980,143.0,17,1,The Hague ,Netherlands,Italy,France,Greece,Germany,United Kingdom,Portugal,Luxembourg,Austria,Switzerland
Italy,Non So Che Darei,Alan Sorrenti,Final,1980,87.0,6,6,The Hague ,Ireland,Greece,Switzerland,Austria,Sweden,Spain,Morocco,Turkey,Portugal,Germany
Luxembourg,Papa Pingouin,Sophie and Magaly,Final,1980,56.0,4,9,The Hague ,Greece,France,Germany,Portugal,Switzerland,Spain,Ireland,United Kingdom,Sweden,Netherlands
Morocco,Bitakat Hob,Samira Bensaïd,Final,1980,7.0,5,18,The Hague ,France,Denmark,Austria,Norway,Spain,Sweden,Switzerland,United Kingdom,Germany,Turkey
Netherlands,Amsterdam,Maggie MacNeal,Final,1980,93.0,15,5,The Hague ,Italy,Norway,Austria,France,Portugal,Ireland,United Kingdom,Greece,Switzerland,Germany
Norway,Sámiid Ædnan,Sverre Kjellsberg & Mattis Hætta,Final,1980,15.0,11,16,The Hague ,Denmark,Italy,France,Greece,Finland,Austria,Luxembourg,Portugal,Switzerland,Ireland
Portugal,"Um Grande, Grande Amor",José Cid,Final,1980,71.0,14,7,The Hague ,Greece,Spain,Austria,Netherlands,Ireland,Switzerland,United Kingdom,Germany,Belgium,Italy
Spain,Quédate Esta Noche,Trigo Limpio,Final,1980,38.0,18,12,The Hague ,Sweden,Switzerland,Luxembourg,Austria,Netherlands,France,Ireland,United Kingdom,Italy,Germany
Sweden,Just Nu!,Tomas Ledin,Final,1980,47.0,8,10,The Hague ,Austria,Switzerland,Netherlands,France,Germany,Luxembourg,Ireland,Portugal,Italy,United Kingdom
Switzerland,Cinéma,Paola,Final,1980,104.0,9,4,The Hague ,France,Portugal,Netherlands,Austria,Sweden,Denmark,Germany,Italy,United Kingdom,Ireland
Turkey,Petr'oil,Ajda Pekkan,Final,1980,23.0,2,15,The Hague ,Luxembourg,Switzerland,France,Portugal,United Kingdom,Italy,Spain,Sweden,Germany,Netherlands
United Kingdom,Love Enough For Two,Prima Donna,Final,1980,106.0,13,3,The Hague ,Belgium,Netherlands,Greece,Italy,France,Austria,Switzerland,Luxembourg,Germany,Ireland
Austria,Wenn Du Da Bist,Marty Brem,Final,1981,20.0,1,17,Dublin ,Belgium,Switzerland,Netherlands,United Kingdom,Germany,Greece,Ireland,Israel,Luxembourg,France
Belgium,Samson,Emly Starr,Final,1981,40.0,16,13,Dublin ,Ireland,Netherlands,France,Sweden,Yugoslavia,Greece,Cyprus,United Kingdom,Germany,Denmark
Cyprus,Monika,Island,Final,1981,69.0,18,6,Dublin ,Sweden,Netherlands,Yugoslavia,United Kingdom,Belgium,Greece,France,Germany,Switzerland,Ireland
Denmark,Krøller Eller Ej,Debbie Cameron & Tommy Seebach,Final,1981,41.0,6,11,Dublin ,Austria,France,Cyprus,Switzerland,Sweden,Belgium,Netherlands,Germany,United Kingdom,Ireland
Finland,Reggae O.k.,Riki Sorsa,Final,1981,27.0,8,16,Dublin ,Sweden,Belgium,United Kingdom,Luxembourg,Turkey,Israel,Germany,Yugoslavia,France,Switzerland
France,Humanahum,Jean Gabilou,Final,1981,125.0,9,3,Dublin ,Finland,Netherlands,Luxembourg,Denmark,Austria,Ireland,United Kingdom,Germany,Switzerland,Sweden
Germany,Johnny Blue,Lena Valaitis,Final,1981,132.0,3,2,Dublin ,Denmark,Greece,Netherlands,United Kingdom,Luxembourg,Ireland,Switzerland,Portugal,Sweden,France
Greece,Feggari Kalokerino,Yiannis Dimitras,Final,1981,55.0,17,8,Dublin ,Portugal,Yugoslavia,Netherlands,Switzerland,Germany,United Kingdom,Belgium,France,Ireland,Cyprus
Ireland,Horoscopes,Sheeba,Final,1981,105.0,12,5,Dublin ,Greece,Yugoslavia,Spain,France,Finland,Germany,Israel,Cyprus,United Kingdom,Switzerland
Israel,Halaylah,Habibi,Final,1981,56.0,5,7,Dublin ,Belgium,Finland,Luxembourg,Netherlands,Cyprus,Spain,France,Germany,Ireland,United Kingdom
Luxembourg,C'est Peut-être Pas L'Amérique,Jean-Claude Pascal,Final,1981,41.0,4,11,Dublin ,Turkey,Sweden,Germany,Israel,United Kingdom,Greece,Denmark,Switzerland,Ireland,France
Netherlands,Het Is Een Wonder,Linda Williams,Final,1981,51.0,11,9,Dublin ,Switzerland,Denmark,Germany,Spain,Finland,France,Israel,Cyprus,Ireland,United Kingdom
Norway,Aldri i Livet,Finn Kalvik,Final,1981,0.0,13,20,Dublin ,Yugoslavia,Greece,United Kingdom,Germany,France,Sweden,Cyprus,Israel,Spain,Switzerland
Portugal,Play-back,Carlos Paião,Final,1981,9.0,15,18,Dublin ,Finland,Denmark,Spain,Luxembourg,Israel,United Kingdom,Netherlands,Switzerland,France,Germany
Spain,Y Solo Tú,Bacchelli,Final,1981,38.0,10,14,Dublin ,Luxembourg,Finland,Denmark,Switzerland,Ireland,Austria,Netherlands,United Kingdom,Greece,Germany
Sweden,Fångad I En Dröm,Björn Skifs,Final,1981,50.0,20,10,Dublin ,Switzerland,Austria,Israel,Denmark,Luxembourg,Finland,Ireland,United Kingdom,France,Germany
Switzerland,Io Senza Tei,"Peter, Sue & Marc",Final,1981,121.0,19,4,Dublin ,Ireland,Spain,Cyprus,Israel,Finland,Luxembourg,Greece,United Kingdom,Yugoslavia,France
Turkey,Dönme Dolap,Modern Folk Trio and Aysegül,Final,1981,9.0,2,18,Dublin ,Denmark,Switzerland,Ireland,Yugoslavia,Netherlands,Austria,Belgium,United Kingdom,Spain,Germany
United Kingdom,Making Your Mind Up,Bucks Fizz,Final,1981,136.0,14,1,Dublin ,France,Sweden,Belgium,Israel,Denmark,Netherlands,Germany,Greece,Cyprus,Switzerland
Yugoslavia,Leila,Seid-Memic Vajta,Final,1981,35.0,7,15,Dublin ,Greece,Germany,Turkey,France,Ireland,Cyprus,Sweden,Belgium,United Kingdom,Switzerland
Austria,Sonntag,Mess,Final,1982,57.0,10,9,Harrogate ,Germany,Luxembourg,Turkey,Belgium,Cyprus,Norway,Israel,Sweden,Switzerland,United Kingdom
Belgium,Si Tu Aimes Ma Musique,Stella,Final,1982,96.0,11,4,Harrogate ,Yugoslavia,Norway,Cyprus,Spain,Sweden,Austria,Israel,Luxembourg,Germany,Switzerland
Cyprus,Mono I Agapi,Anna Vissi,Final,1982,85.0,8,5,Harrogate ,Yugoslavia,Israel,United Kingdom,Norway,Ireland,Switzerland,Austria,Belgium,Spain,Germany
Denmark,Video-video,Brixx,Final,1982,5.0,13,17,Harrogate ,Israel,United Kingdom,Yugoslavia,Luxembourg,Ireland,Austria,Switzerland,Sweden,Belgium,Germany
Finland,Nuku Pommiin,Kojo,Final,1982,0.0,6,18,Harrogate ,Turkey,Portugal,Sweden,United Kingdom,Belgium,Spain,Luxembourg,Cyprus,Germany,Israel
Germany,Ein Bißchen Frieden,Nicole,Final,1982,161.0,18,1,Harrogate ,United Kingdom,Sweden,Ireland,Belgium,Netherlands,Cyprus,Spain,Luxembourg,Norway,Israel
Ireland,"Here Today, Gone Tomorrow",The Duskeys,Final,1982,49.0,17,11,Harrogate ,Denmark,Portugal,Sweden,Belgium,Austria,Norway,United Kingdom,Switzerland,Luxembourg,Germany
Israel,Hora,Avi Toledano,Final,1982,100.0,15,2,Harrogate ,Portugal,United Kingdom,Ireland,Austria,Luxembourg,Belgium,Cyprus,Spain,Switzerland,Germany
Luxembourg,Cour Apres Le Temps,Svetlana,Final,1982,78.0,2,6,Harrogate ,Spain,Switzerland,Sweden,Cyprus,Belgium,Norway,Portugal,Turkey,Israel,United Kingdom
Netherlands,Jij En Ik,Bill van Dijk,Final,1982,8.0,16,16,Harrogate ,United Kingdom,Turkey,Belgium,Portugal,Sweden,Germany,Luxembourg,Israel,Switzerland,Cyprus
Norway,Adieu,Jahn Teigen & Anita Skorgan,Final,1982,40.0,3,12,Harrogate ,Israel,Ireland,Turkey,Switzerland,Belgium,United Kingdom,Luxembourg,Sweden,Germany,Cyprus
Portugal,Bem-bom,Doce,Final,1982,32.0,1,13,Harrogate ,Ireland,Switzerland,Denmark,United Kingdom,Cyprus,Luxembourg,Sweden,Belgium,Israel,Germany
Spain,Él,Lucía,Final,1982,52.0,12,10,Harrogate ,United Kingdom,Norway,Ireland,Sweden,Luxembourg,Israel,Cyprus,Austria,Belgium,Germany
Sweden,Dag Efter Dag,Chips,Final,1982,67.0,9,8,Harrogate ,Denmark,Switzerland,Netherlands,Norway,Ireland,Portugal,Belgium,Germany,Israel,Yugoslavia
Switzerland,Amour On T'aime,Arlette Zola,Final,1982,97.0,7,3,Harrogate ,Portugal,Belgium,Turkey,Sweden,United Kingdom,Ireland,Spain,Cyprus,Israel,Germany
Turkey,Hani,Neco,Final,1982,20.0,5,15,Harrogate ,Ireland,Switzerland,Luxembourg,Yugoslavia,Portugal,Belgium,Austria,Spain,United Kingdom,Germany
